Platform;Year;Global_Sales
GEN;1992;6.03
PS3;2008;6.03
PS;1998;6.03
PS3;2013;5.99
PS2;2006;5.95
PS3;2008;5.92
DS;2009;5.84
Wii;2007;5.83
PS;1998;5.82
PS;1996;5.74
DS;2006;5.72
PS4;2014;5.65
NES;1988;5.58
PS3;2009;5.57
N64;1999;5.55
X360;2007;5.55
PS3;2011;5.53
X360;2009;5.51
PSP;2008;5.5
GBA;2001;5.49
GBA;2001;5.47
GBA;2001;5.46
N64;1999;5.45
PS3;2008;5.43
PS2;2001;5.42
PS3;2014;5.42
PS3;2009;5.36
GB;1989;5.34
GB;1999;5.31
X360;2012;5.3
PS;2000;5.3
PS2;2003;5.29
N64;1999;5.27
X360;2009;5.27
DS;2007;5.26
PS;1997;5.24
PS2;2004;5.21
PC;2012;5.2
GBA;2003;5.2
WiiU;2012;5.19
GB;1994;5.19
X360;2012;5.18
DS;2007;5.17
SNES;1995;5.15
3DS;2013;5.15
DS;2008;5.14
PS2;2003;5.13
GB;1992;5.13
X360;2010;5.13
XOne;2014;5.13
PC;1996;5.12
PS2;2006;5.12
PS3;2009;5.11
XOne;2014;5.08
PSP;2006;5.08
PS3;2010;5.08
GB;1999;5.07
PS;1996;5.05
PS;1999;5.02
WiiU;2014;5.02
PS;1999;5.01
PS;1998;5
Wii;2007;5
PS2;2007;4.98
X360;2008;4.96
DS;2007;4.96
PS3;2007;4.94
PS2;2005;4.91
DS;2007;4.9
N64;1997;4.88
PSP;2010;4.87
NES;1990;4.85
PS3;2010;4.84
PC;2010;4.83
PS3;2007;4.83
PS3;2014;4.82
PS;1999;4.79
PS4;2016;4.77
X360;2011;4.76
PS;2000;4.73
PS2;2003;4.7
PS;2000;4.68
Wii;2008;4.68
PS2;2002;4.67
X360;2011;4.64
PS;1996;4.63
Wii;2007;4.62
SNES;1991;4.61
GC;2002;4.6
Wii;2009;4.58
3DS;2013;4.58
WiiU;2015;4.57
PS4;2014;4.55
X360;2007;4.53
PS2;2004;4.53
2600;1981;4.5
PS2;2006;4.49
PS2;2002;4.48
PS;2000;4.47
PS4;2015;4.47
PS3;2014;4.45
PS2;2005;4.45
WiiU;2012;4.44
Wii;2010;4.42
PS2;2001;4.41
PS2;2006;4.39
X360;2006;4.39
NES;1987;4.38
PS2;2005;4.37
PS3;2006;4.35
GEN;1991;4.34
PS2;2005;4.33
X360;2013;4.31
X360;2014;4.31
2600;1980;4.31
X360;2008;4.31
XOne;2015;4.26
WiiU;2013;4.25
PS3;2009;4.25
PS3;2011;4.24
GBA;2001;4.24
PS2;2004;4.23
PSP;2006;4.22
PC;1995;4.21
3DS;2011;4.21
PS2;2005;4.21
PS2;2003;4.2
PS4;2016;4.2
PS3;2007;4.2
X360;2011;4.19
PS3;2009;4.19
X360;2011;4.19
NES;1989;4.17
NES;1984;4.16
PS;1997;4.16
PS2;2002;4.14
PS4;2014;4.14
PC;1997;4.12
SNES;1995;4.12
PS2;2006;4.11
Wii;2011;4.1
SNES;1992;4.1
Wii;2007;4.1
XOne;2015;4.09
PC;2007;4.09
X360;2010;4.08
PS2;2007;4.07
X360;2007;4.06
PS2;2005;4.06
PS;1996;4.05
PS2;2000;4.05
PS4;2014;4.03
N64;1997;4.03
PS4;2014;4.02
NES;1984;4.01
PS3;2008;4.01
DS;2007;4
X360;2009;3.99
PS2;2005;3.98
Wii;2009;3.92
PS4;2014;3.92
GB;1994;3.91
PS2;2003;3.9
PS3;2013;3.89
3DS;2014;3.89
PS3;2006;3.88
PC;2011;3.88
PS2;2005;3.87
NES;1988;3.87
PS3;2010;3.87
PS4;2015;3.85
PS2;2004;3.85
DS;2007;3.84
PS;1995;3.84
GB;1992;3.83
DS;2009;3.83
Wii;2007;3.82
3DS;2011;3.81
PS4;2015;3.79
Wii;2011;3.78
X360;2008;3.78
PS;1996;3.77
PSP;2007;3.77
Wii;2013;3.76
PC;2002;3.76
Wii;2007;3.76
PS;2001;3.73
PS4;2015;3.73
PS;1999;3.72
PS;2000;3.71
PS2;2004;3.7
GB;1998;3.7
PS3;2013;3.69
DS;2007;3.69
DS;2009;3.67
PS2;2002;3.67
PSP;2005;3.66
N64;1998;3.65
PS2;2002;3.65
Wii;2008;3.65
PS3;2013;3.64
PS2;2001;3.64
N64;1999;3.63
PS3;2009;3.63
PS2;2007;3.63
PS4;2013;3.63
PS2;2005;3.62
PS4;2016;3.61
PS2;2004;3.61
PC;1994;3.61
PS2;2001;3.61
DS;2007;3.61
GC;2001;3.6
PS2;2005;3.59
PS;2000;3.58
PS;1997;3.56
PS2;2006;3.54
PS2;2002;3.54
PS;1997;3.54
PS2;2001;3.53
PS2;2005;3.53
X360;2013;3.53
X360;2010;3.53
PS;2000;3.52
PS;1999;3.52
X360;2008;3.52
DS;2009;3.52
X360;2009;3.51
SNES;1996;3.51
X360;2010;3.5
NES;1985;3.5
X360;2009;3.5
DS;2006;3.5
XOne;2015;3.49
X360;2010;3.48
DS;2008;3.48
XOne;2014;3.46
PS3;2012;3.45
3DS;2013;3.44
X360;2009;3.44
PS2;2002;3.44
PS4;2013;3.43
PS3;2011;3.42
PS;1998;3.42
SNES;1994;3.42
PS2;2004;3.41
GB;1990;3.41
PS2;2002;3.4
PS;2000;3.39
X360;2008;3.38
PS4;2015;3.38
DS;2009;3.38
PS;1998;3.36
N64;2000;3.36
DS;2008;3.36
PS;1998;3.34
X360;2013;3.34
DS;2006;3.33
PS2;2002;3.33
PS2;2002;3.33
Wii;2012;3.32
PS2;2005;3.32
PS2;2001;3.31
PS2;2003;3.28
PS4;2015;3.28
XOne;2014;3.28
PS2;2003;3.27
Wii;2008;3.27
PSP;2009;3.27
3DS;2015;3.26
PS;1995;3.24
XOne;2015;3.23
PS3;2011;3.23
PS4;2015;3.22
3DS;2014;3.22
PS;1999;3.21
NES;1983;3.2
SNES;1995;3.2
PS;2000;3.2
PSP;2007;3.19
PSP;2008;3.19
SNES;1995;3.19
X360;2010;3.19
PS2;2003;3.18
WiiU;2015;3.18
PS3;2010;3.17
DS;2008;3.17
PS2;2001;3.17
DS;2008;3.16
GC;2001;3.15
DS;2008;3.15
DS;2005;3.15
PS3;2012;3.15
XOne;2014;3.15
PS2;2007;3.14
PS;2000;3.13
PS;1998;3.12
N64;1999;3.12
DS;2006;3.12
PS3;2007;3.12
NES;1990;3.12
PS3;2010;3.12
X360;2010;3.11
X360;2014;3.11
PS2;2002;3.09
PS2;2001;3.08
NES;1986;3.08
X360;2012;3.07
3DS;2013;3.07
GB;1994;3.07
PC;2002;3.07
X360;2012;3.07
X360;2008;3.05
X360;2012;3.04
Wii;2010;3.04
X360;2008;3.03
PS;1995;3.03
PS3;2009;3.02
XB;2002;3.02
NES;1987;3.02
PS2;2002;3.02
XOne;2015;3
X360;2012;3
PS2;2007;3
PS4;2014;2.99
SNES;1993;2.99
PC;2000;2.99
PS2;2002;2.99
PS2;2001;2.99
3DS;2015;2.98
PS3;2010;2.97
PC;2014;2.97
PC;2011;2.97
PS2;2003;2.96
DS;2008;2.96
PS2;2002;2.96
X360;2009;2.95
N64;1996;2.94
PS2;2003;2.94
PS2;2005;2.94
PS3;2009;2.94
GBA;2001;2.94
X360;2007;2.93
Wii;2006;2.92
Wii;2007;2.91
GBA;2002;2.91
PS4;2013;2.9
XOne;2014;2.9
PS2;2004;2.9
X360;2008;2.9
PS2;2003;2.9
PS3;2012;2.89
PS2;2001;2.89
PS2;2004;2.89
Wii;2011;2.88
PS;1999;2.88
DS;2007;2.88
PS;1998;2.87
XOne;2013;2.86
X360;2012;2.86
XB;2002;2.86
PS3;2011;2.85
SNES;1990;2.85
N64;1997;2.85
PC;1996;2.85
Wii;2011;2.85
PS3;2015;2.85
PS3;2010;2.84
X360;2007;2.83
X360;2009;2.83
PS3;2010;2.83
PS2;2002;2.83
GC;2002;2.82
GBA;2003;2.82
PC;1994;2.81
PS3;2010;2.81
DS;2007;2.81
PS2;2003;2.8
X360;2008;2.8
DS;2006;2.8
PS;1997;2.79
PS3;2011;2.79
PS;1998;2.79
PS2;2001;2.79
SNES;1992;2.79
PS;1996;2.79
PC;2011;2.79
PS2;2001;2.79
DS;2009;2.79
3DS;2011;2.79
PS2;2003;2.78
PS4;2014;2.78
PS2;2003;2.78
PS3;2009;2.78
PS2;2003;2.77
Wii;2007;2.77
X360;2011;2.77
2600;1980;2.76
SNES;1992;2.75
PS4;2013;2.74
N64;2000;2.73
NES;1986;2.73
X360;2011;2.72
X360;2006;2.71
GBA;2002;2.7
PS2;2001;2.7
PS4;2015;2.7
N64;1998;2.7
X360;2011;2.69
PS2;2006;2.69
X360;2010;2.69
DS;2010;2.69
X360;2010;2.68
PS2;2004;2.68
3DS;2014;2.68
PS3;2009;2.68
PS3;2011;2.68
GEN;1992;2.67
PS2;2005;2.67
X360;2008;2.67
PS;1998;2.67
XB;2004;2.66
DS;2006;2.65
PS2;2003;2.65
Wii;2012;2.65
PSP;2006;2.65
NES;1986;2.65
N64;1996;2.65
X360;2007;2.64
PS2;2000;2.63
PSP;2006;2.63
X360;2009;2.63
PS3;2009;2.63
PS2;2004;2.62
Wii;2007;2.62
X360;2010;2.62
X360;2009;2.62
X360;2011;2.62
DS;2008;2.61
PS2;2002;2.61
Wii;2010;2.6
GEN;1990;2.6
PS3;2008;2.59
PS3;2007;2.59
PS2;2004;2.59
PSP;2009;2.58
PS4;2013;2.58
X360;2009;2.58
PSP;2007;2.58
PS2;2006;2.58
PS2;2004;2.57
DS;2010;2.57
X360;2009;2.57
PS2;2007;2.57
GC;2001;2.56
NES;1987;2.56
PS3;2012;2.56
GC;2003;2.54
Wii;2008;2.54
X360;2008;2.54
PS2;2001;2.52
N64;2000;2.52
Wii;2007;2.52
NES;1986;2.52
PS3;2013;2.51
X360;2006;2.5
PS2;2008;2.5
N64;1999;2.5
PS3;2011;2.49
XB;2003;2.49
Wii;2010;2.49
PS2;2002;2.49
PS3;2008;2.48
X360;2008;2.48
PS;1998;2.48
PS3;2012;2.48
X360;2013;2.47
GC;2002;2.47
Wii;2010;2.46
PS3;2008;2.45
SNES;1992;2.45
PS;1997;2.45
PS;1996;2.44
X360;2011;2.44
PSP;2006;2.44
PS2;2003;2.43
PC;1997;2.43
X360;2008;2.42
DC;1998;2.42
NES;1988;2.42
PS3;2010;2.42
PS2;2003;2.41
PS2;2001;2.41
PS;1998;2.41
XOne;2014;2.41
PS2;2007;2.41
XOne;2015;2.4
PS;1996;2.4
NES;1987;2.4
PC;1997;2.4
PS4;2015;2.39
X360;2010;2.39
PC;1994;2.39
PS3;2013;2.39
X360;2011;2.39
PS2;2005;2.38
PS3;2007;2.38
X360;2011;2.38
N64;1998;2.38
PS4;2015;2.38
PS4;2014;2.38
PS3;2010;2.38
PS2;2001;2.38
X360;2007;2.37
PC;2004;2.37
PS2;2004;2.37
PS2;2004;2.37
PS3;2009;2.37
X360;2011;2.36
GB;1995;2.36
DS;2010;2.35
GB;1996;2.35
GB;1998;2.35
X360;2008;2.35
Wii;2013;2.34
PS2;2007;2.34
Wii;2008;2.34
PS2;2001;2.34
X360;2010;2.33
3DS;2015;2.32
XOne;2015;2.32
Wii;2010;2.32
N64;2000;2.32
PS;1997;2.32
PS2;2004;2.31
DS;2004;2.31
PS;1999;2.31
SNES;1995;2.31
PS;1998;2.31
X360;2013;2.3
PC;2012;2.3
DS;2008;2.3
PS3;2011;2.29
PC;1997;2.29
PS3;2013;2.29
XB;2004;2.28
PS3;2009;2.28
Wii;2014;2.28
3DS;2015;2.28
NES;1983;2.28
PS2;2008;2.28
PS3;2008;2.28
PS3;2012;2.28
PS;1997;2.28
3DS;2012;2.27
PS3;2009;2.27
Wii;2006;2.27
GBA;2002;2.27
GBA;2001;2.26
PS3;2007;2.26
Wii;2007;2.26
PSV;2014;2.25
PS2;2002;2.25
PS;1997;2.25
GC;2004;2.25
PS3;2011;2.25
Wii;2009;2.25
PSP;2008;2.25
GBA;2001;2.24
GBA;2001;2.23
NES;1990;2.23
DS;2008;2.23
PS2;2009;2.23
WiiU;2013;2.22
PS2;2003;2.22
DS;2009;2.22
GB;1998;2.22
X360;2010;2.22
X360;2010;2.21
XOne;2013;2.21
PS2;2006;2.21
X360;2008;2.2
2600;1981;2.2
X360;2007;2.2
GB;2000;2.2
NES;1986;2.2
Wii;2008;2.2
DS;2007;2.2
PS3;2011;2.19
X360;2006;2.19
XB;2003;2.19
GB;1992;2.19
GB;2000;2.19
PS3;2012;2.19
GB;2000;2.18
PS2;2002;2.18
XOne;2013;2.18
X360;2013;2.18
DS;2006;2.18
GBA;2003;2.17
X360;2010;2.17
N64;1998;2.17
NES;1984;2.17
PC;2001;2.16
Wii;2009;2.16
PS;2000;2.15
PS4;2015;2.15
NES;1987;2.15
XOne;2014;2.15
PSP;2007;2.14
SNES;1996;2.14
NES;1983;2.14
NES;1988;2.14
PC;1992;2.14
2600;1981;2.13
PS2;2004;2.13
DS;2006;2.13
GBA;2003;2.13
PS4;2016;2.13
DS;2010;2.12
DS;2006;2.12
Wii;2010;2.12
XB;2001;2.12
GB;1989;2.12
PS3;2011;2.11
PS3;2009;2.11
N64;2000;2.11
PS3;2008;2.11
PS2;2002;2.11
Wii;2010;2.11
PS2;2003;2.11
X360;2011;2.11
PS;1998;2.1
PS2;2002;2.1
XB;2002;2.1
PSP;2005;2.1
X360;2011;2.1
PS2;2005;2.09
PS;1997;2.09
X360;2006;2.09
PS2;2003;2.09
X360;2010;2.09
Wii;2009;2.09
DS;2006;2.09
PS4;2015;2.09
PSP;2010;2.09
PC;2010;2.08
PS2;2002;2.08
PS3;2008;2.08
Wii;2007;2.08
GC;2003;2.08
PS3;2010;2.08
PC;1998;2.08
PC;1994;2.08
PS3;2010;2.08
PS;2002;2.07
PSP;2010;2.07
X360;2009;2.07
PS3;2011;2.07
GBA;2001;2.07
X360;2007;2.06
PS3;2010;2.06
X360;2010;2.06
GBA;2005;2.06
GBA;2004;2.06
PS;1998;2.06
PS2;2003;2.06
3DS;2013;2.06
PS3;2007;2.05
DS;2008;2.05
PS3;2013;2.05
DS;2005;2.05
GC;2002;2.05
PS3;2013;2.05
GEN;1992;2.05
X360;2007;2.05
DS;2009;2.04
X360;2011;2.04
Wii;2008;2.04
PS2;2006;2.04
PS2;2005;2.04
GBA;2003;2.04
PS3;2011;2.04
PS4;2014;2.03
N64;1998;2.03
X360;2011;2.03
PS2;2003;2.03
PS3;2008;2.02
X360;2005;2.02
X360;2014;2.02
X360;2012;2.02
DS;2007;2.01
XOne;2016;2.01
PS3;2013;2
3DS;2012;2
PS4;2014;2
SNES;1993;2
PS3;2008;2
PS;1997;1.99
GB;1989;1.99
GBA;2002;1.99
PS;2002;1.98
SNES;1991;1.98
XOne;2013;1.98
X360;2012;1.98
PS4;2014;1.97
DS;2010;1.97
PS2;2002;1.97
Wii;2008;1.97
PS2;2003;1.97
PS3;2008;1.97
2600;1981;1.97
X360;2013;1.96
PSP;2004;1.96
NES;1986;1.96
NES;1985;1.96
DS;2006;1.96
X360;2006;1.96
X360;2014;1.95
PS2;2003;1.95
XB;2005;1.95
PC;1994;1.95
PS2;2003;1.95
PS2;2003;1.94
X360;2008;1.94
PC;1999;1.94
PS;2001;1.94
GB;1989;1.94
PS2;2004;1.94
PS;1997;1.94
PS2;2002;1.94
PS2;2004;1.93
X360;2013;1.93
PS3;2008;1.93
SNES;1993;1.93
SAT;1995;1.93
GB;1998;1.93
X360;2008;1.93
PS3;2014;1.93
Wii;2008;1.93
X360;2013;1.92
GB;2001;1.92
X360;2009;1.92
Wii;2008;1.92
PS2;2001;1.92
PC;2003;1.92
PS2;2004;1.92
PS;1996;1.92
Wii;2009;1.92
N64;2000;1.91
Wii;2008;1.91
Wii;2008;1.91
PS4;2015;1.91
Wii;2011;1.91
GC;2001;1.9
PS3;2012;1.9
PS4;2013;1.89
PS3;2008;1.89
3DS;2013;1.89
PS3;2009;1.88
PS;1999;1.88
PS2;2004;1.88
PS;1999;1.88
PS2;2005;1.88
PS;1998;1.88
PS2;2007;1.87
GC;2002;1.87
PS;1998;1.87
PS2;2001;1.87
3DS;2013;1.87
GB;2001;1.86
XB;2005;1.86
PS2;2004;1.86
PS;1999;1.86
N64;1997;1.86
PS2;2004;1.86
PS4;2014;1.86
PS2;2001;1.86
DS;2009;1.86
PS;1999;1.86
Wii;2010;1.86
3DS;2013;1.85
PS2;2004;1.85
Wii;2007;1.85
GBA;2004;1.85
NES;1984;1.85
PS3;2011;1.85
PS2;2001;1.84
PS3;2009;1.84
PS2;2005;1.84
N64;1998;1.83
GBA;2005;1.83
PC;2012;1.83
PS;1996;1.83
PS4;2015;1.83
SNES;1993;1.83
X360;2007;1.83
PS;1995;1.83
3DS;2014;1.82
GEN;1994;1.82
PS2;2001;1.82
PC;2001;1.82
Wii;2007;1.82
DS;2010;1.81
PS4;2014;1.81
PS2;2003;1.81
DC;2000;1.81
PS2;2002;1.81
PS2;2004;1.81
PS2;2008;1.8
GBA;2002;1.8
X360;2006;1.8
PS3;2010;1.8
PS;1999;1.8
PS3;2015;1.79
SNES;1994;1.79
PS3;2013;1.79
X360;2012;1.78
PS2;2003;1.78
DS;2006;1.78
PS;2001;1.78
PS2;2004;1.78
3DS;2011;1.78
PS3;2010;1.78
PS3;2012;1.78
WiiU;2013;1.77
PS2;2005;1.77
Wii;2007;1.77
WiiU;2013;1.77
PS3;2013;1.77
SNES;1991;1.77
N64;2000;1.77
XB;2001;1.77
PS3;2009;1.77
GB;1991;1.76
PS;1998;1.76
PS2;2004;1.76
GBA;2001;1.76
GEN;1994;1.76
NES;1986;1.76
PS2;2004;1.76
XB;2002;1.76
PS2;2002;1.76
PS3;2013;1.76
X360;2012;1.76
GBA;2007;1.76
X360;2015;1.76
PS2;2004;1.76
PS3;2007;1.76
PS2;2001;1.76
PS;1998;1.75
PS3;2013;1.75
XB;2004;1.75
PS2;2001;1.75
X360;2007;1.75
NES;1991;1.75
SNES;1993;1.75
NES;1993;1.75
DS;2009;1.75
PS2;2008;1.75
GBA;2004;1.75
PS;1999;1.74
PS2;2002;1.74
PS3;2011;1.74
Wii;2009;1.74
XOne;2015;1.74
Wii;2010;1.74
N64;1996;1.74
PS;1998;1.74
PS4;2014;1.74
PSV;2011;1.74
PS3;2014;1.73
PS2;2001;1.73
PS4;2016;1.73
PS;1998;1.73
GB;2001;1.73
Wii;2013;1.73
GBA;2002;1.73
X360;2012;1.73
PS2;2003;1.72
PS4;2015;1.72
PS4;2015;1.72
PS2;2008;1.72
DS;2008;1.72
PC;2011;1.72
XB;2004;1.72
PS2;2003;1.72
PC;2010;1.71
Wii;2009;1.71
PS;1998;1.71
DS;2007;1.71
PS2;2004;1.71
XB;2003;1.71
DS;2006;1.71
GBA;2001;1.71
Wii;2009;1.7
PS4;2014;1.7
PS2;2009;1.7
Wii;2008;1.7
DS;2007;1.7
Wii;2011;1.7
SNES;1993;1.7
DS;2007;1.7
PS2;2006;1.7
PS2;2005;1.69
XOne;2014;1.69
PS3;2008;1.69
X360;2013;1.69
PS;1999;1.69
PS3;2009;1.69
X360;2015;1.69
N64;1997;1.69
PS;1998;1.69
GBA;2001;1.69
X360;2008;1.69
GBA;2002;1.69
PC;2010;1.69
GC;2005;1.69
PSV;2012;1.69
PSP;2007;1.68
PS2;2006;1.68
PS;1997;1.68
X360;2012;1.68
GB;1992;1.68
PS;1997;1.68
PC;2003;1.68
Wii;2008;1.68
Wii;2007;1.68
GBA;2002;1.68
Wii;2008;1.67
PS2;2003;1.67
Wii;2008;1.67
PS;2000;1.67
PS3;2006;1.67
PS4;2013;1.67
XB;2005;1.67
NES;1989;1.67
PS;2001;1.67
GBA;2001;1.67
PC;2013;1.67
XB;2003;1.67
PS2;2001;1.67
PS2;2003;1.67
PS2;2003;1.67
PS4;2015;1.66
PS3;2007;1.66
GEN;1992;1.66
PS2;2000;1.66
X360;2012;1.66
PS2;2004;1.66
X360;2006;1.66
PS2;2002;1.66
PS2;2005;1.66
2600;1981;1.65
GC;2004;1.65
SNES;1991;1.65
Wii;2011;1.65
PS2;2004;1.65
X360;2008;1.65
DS;2007;1.64
GBA;2004;1.64
Wii;2011;1.64
2600;1982;1.64
PS;1999;1.64
NES;1986;1.64
PS2;2002;1.64
PS2;2005;1.64
PS2;2004;1.64
X360;2010;1.64
PS4;2015;1.64
XB;2004;1.63
X360;2006;1.63
GC;2001;1.63
PS3;2011;1.63
PS2;2003;1.63
PS;1999;1.63
X360;2014;1.63
PS2;2004;1.62
X360;2010;1.62
PS2;2005;1.62
X360;2011;1.62
DS;2006;1.62
GC;2003;1.62
PS;1998;1.62
Wii;2006;1.61
PS2;2004;1.61
X360;2013;1.61
GB;1989;1.61
GB;1998;1.61
GC;2005;1.61
PS2;2005;1.61
DS;2007;1.61
XOne;2014;1.61
Wii;2008;1.6
DS;2011;1.6
PS2;2005;1.6
X360;2008;1.6
N64;1998;1.6
2600;1981;1.6
PS;1999;1.6
DS;2008;1.6
PS4;2016;1.6
GC;2003;1.6
PS2;2004;1.59
PC;1996;1.59
GC;2006;1.59
PS;1996;1.59
PS3;2008;1.59
2600;1982;1.59
PS3;2007;1.59
X360;2008;1.59
X360;2010;1.59
PS;1999;1.59
PS4;2014;1.58
Wii;2008;1.58
DS;2008;1.58
DS;2008;1.58
PS;2000;1.58
X360;2012;1.58
Wii;2009;1.58
DS;2008;1.58
3DS;2012;1.58
DS;2007;1.58
DS;2009;1.58
GBA;2002;1.58
PS2;2009;1.57
PS2;2001;1.57
PS2;2002;1.57
GC;2005;1.57
PS3;2012;1.56
PS2;2000;1.56
PS2;2006;1.56
NES;1988;1.56
PS;1995;1.56
PS4;2016;1.56
SNES;1990;1.56
GB;2001;1.56
GBA;2003;1.56
PS4;2013;1.56
X360;2010;1.55
PS3;2012;1.55
PS2;2002;1.55
XB;2003;1.55
Wii;2008;1.55
PS3;2010;1.55
N64;2000;1.55
PS;2001;1.55
XOne;2014;1.55
PS3;2010;1.55
PS3;2011;1.55
PC;1999;1.55
DS;2011;1.55
WiiU;2015;1.55
XOne;2013;1.54
Wii;2007;1.54
3DS;2015;1.54
PS2;2000;1.54
PC;2003;1.54
X360;2006;1.54
DS;2008;1.54
PS2;2005;1.54
PS;1996;1.54
PC;2012;1.53
PS3;2009;1.53
Wii;2008;1.53
DS;2007;1.53
SNES;1994;1.53
PS;1998;1.53
Wii;2009;1.53
XOne;2016;1.53
GC;2003;1.53
PS;1997;1.53
WiiU;2014;1.52
X360;2011;1.52
PSP;2007;1.52
PS;1997;1.52
PS2;2002;1.52
PS;1996;1.52
NES;1984;1.52
NES;1984;1.52
PS;1998;1.52
PS;1998;1.52
PS3;2010;1.52
PS3;2006;1.52
GC;2002;1.52
PS2;2002;1.51
XOne;2014;1.51
Wii;2010;1.51
X360;2011;1.51
PC;2011;1.51
3DS;2013;1.51
NES;1988;1.51
PS;2001;1.51
PS;1997;1.51
PS2;2007;1.51
PS;1997;1.51
GC;2003;1.5
PS3;2011;1.5
PS2;2000;1.5
PC;2010;1.5
PS;1998;1.5
PS2;2002;1.5
DS;2010;1.5
PS2;2000;1.5
N64;2000;1.5
NES;1985;1.5
SCD;1993;1.5
NES;1986;1.5
X360;2010;1.5
PS3;2008;1.5
PS;1998;1.5
Wii;2009;1.49
GC;2003;1.49
XB;2002;1.49
PS2;2008;1.49
DS;2008;1.49
N64;2000;1.49
PS2;2006;1.49
X360;2008;1.49
Wii;2010;1.49
Wii;2009;1.48
DS;2006;1.48
PS2;2006;1.48
NES;1990;1.48
N64;1999;1.48
GB;1997;1.48
PS3;2011;1.48
PS2;2005;1.48
PS2;2004;1.48
XB;2004;1.48
DS;2007;1.47
PSV;2012;1.47
PS3;2008;1.47
N64;1999;1.47
GBA;2003;1.47
X360;2006;1.47
PS3;2013;1.47
DS;2008;1.47
X360;2010;1.47
Wii;2008;1.47
DS;2007;1.47
PSV;2012;1.47
PS;1998;1.46
GBA;2004;1.46
X360;2012;1.46
X360;2008;1.46
PS2;2003;1.46
DS;2008;1.46
X360;2011;1.46
GC;2001;1.46
2600;1981;1.46
PS;1998;1.46
GC;2005;1.46
PS3;2012;1.46
Wii;2012;1.46
PS3;2012;1.46
PS;1998;1.46
PSP;2006;1.46
3DS;2013;1.46
PS2;2004;1.45
X360;2013;1.45
XOne;2015;1.45
PS3;2008;1.45
PS2;2004;1.45
PC;2011;1.45
PS2;2003;1.45
Wii;2007;1.45
GB;1996;1.45
NES;1984;1.45
SNES;1993;1.45
GB;1997;1.45
N64;1999;1.45
Wii;2008;1.45
DS;2010;1.45
PS2;2005;1.45
DS;2007;1.45
DS;2007;1.44
PS2;2007;1.44
PSP;2006;1.44
PC;2013;1.44
SNES;1996;1.44
PS3;2014;1.44
X360;2007;1.44
X360;2010;1.44
