Year;NA_Sales;Global_Sales
2010;265;408
2007;232;407
2007;235;406
2005;12;406
1996;228;405
2000;168;405
2014;112;403
1997;278;403
2014;138;402
1984;122;401
2008;215;401
2007;92;400
2009;267;399
2005;208;398
2009;210;392
2014;118;392
1994;197;391
2003;229;390
2013;133;389
2014;67;389
2006;153;388
2011;115;388
2005;93;387
1988;10;387
2010;212;387
2015;248;385
2004;16;385
2007;87;384
1995;212;384
1992;221;383
2009;226;383
2007;106;382
2011;144;381
2015;149;379
2011;114;378
2008;240;378
1996;182;377
2007;140;377
2013;198;376
2002;203;376
2007;198;376
2001;137;373
2015;96;373
1999;130;372
2000;193;371
2004;58;370
1998;149;370
2013;130;369
2007;159;369
2009;0;367
2002;213;367
2005;165;366
1998;187;365
2002;253;365
2008;233;365
2013;71;364
2001;208;364
1999;223;363
2009;60;363
2007;5;363
2013;178;363
2005;208;362
2016;128;361
2004;193;361
1994;205;361
2001;202;361
2007;161;361
2001;238;360
2005;218;359
2000;201;358
1997;157;356
2006;156;354
2002;123;354
1997;166;354
2001;190;353
2005;198;353
2013;214;353
2010;71;353
2000;196;352
1999;214;352
2008;266;352
2009;122;352
2009;211;351
1996;117;351
2010;284;350
1985;164;350
2009;220;350
2006;59;350
2015;194;349
2010;209;348
2008;211;348
2014;226;346
2012;88;345
2013;0;344
2009;239;344
2002;155;344
2013;134;343
2011;182;342
1998;113;342
1994;86;342
2004;175;341
1990;173;341
2002;46;340
2000;156;339
2008;203;338
2015;108;338
2009;143;338
1998;247;336
2000;190;336
2008;65;336
1998;163;334
2013;190;334
2006;0;333
2002;145;333
2002;144;333
2012;115;332
2005;147;332
2001;199;331
2003;150;328
2015;80;328
2014;213;328
2003;189;327
2008;136;327
2009;50;327
2015;25;326
1995;95;324
2015;88;323
2011;127;323
2015;233;322
2014;3;322
1999;172;321
1983;73;320
1995;226;320
2000;176;320
2007;135;319
2008;148;319
1995;0;319
2010;215;319
2003;178;318
2015;118;318
2010;152;317
2008;58;317
2001;206;317
2008;188;316
2001;192;315
2008;179;315
2005;122;315
2012;88;315
2014;189;315
2007;68;314
2000;170;313
1998;214;312
1999;231;312
2006;91;312
2007;169;312
1990;8;312
2010;129;312
2010;199;311
2014;78;311
2002;217;309
2001;250;308
1986;192;308
2012;189;307
2013;140;307
1994;157;307
2002;172;307
2012;194;307
2008;191;305
2012;138;304
2010;206;304
2008;194;303
1995;154;303
2009;140;302
2002;185;302
1987;203;302
2002;145;302
2015;238;300
2012;260;300
2007;115;300
2014;101;299
1993;161;299
2000;167;299
2002;12;299
2001;136;299
2015;47;298
2010;133;297
2014;96;297
2011;158;297
2003;104;296
2008;157;296
2002;136;296
2009;182;295
1996;198;294
2003;222;294
2005;145;294
2009;176;294
2001;207;294
2007;183;293
2006;87;292
2007;143;291
2002;175;291
2013;61;290
2014;184;290
2004;154;290
2008;175;290
2003;8;290
2012;71;289
2001;99;289
2004;151;289
2011;154;288
1999;203;288
2007;130;288
1998;9;287
2013;187;286
2012;253;286
2002;209;286
2011;198;285
1990;137;285
1997;129;285
1996;137;285
2011;140;285
2015;40;285
2010;187;284
2007;165;283
2009;252;283
2010;128;283
2002;132;283
2002;196;282
2003;159;282
1994;2;281
2010;105;281
2007;132;281
2003;132;280
2008;174;280
2006;147;280
1997;29;279
2011;145;279
1998;196;279
2001;119;279
1992;0;279
1996;198;279
2011;89;279
2001;219;279
2009;30;279
2011;46;279
2003;168;278
2014;127;278
2003;144;278
2009;120;278
2003;141;277
2007;124;277
2011;125;277
1980;256;276
1992;143;275
2013;107;274
2000;102;273
1986;133;273
2011;152;272
2006;149;271
2002;175;270
2001;99;270
2015;147;270
1998;125;270
2011;242;269
2006;185;269
2010;238;269
2010;163;269
2010;146;268
2004;123;268
2014;0;268
2009;69;268
2011;78;268
1992;195;267
2005;148;267
2008;178;267
1998;144;267
2004;199;266
2006;159;265
2003;115;265
2012;156;265
2006;86;265
1986;0;265
1996;200;265
2007;153;264
2000;200;263
2006;76;263
2009;153;263
2009;170;263
2004;215;262
2007;107;262
2010;155;262
2009;59;262
2011;231;262
2008;63;261
2002;90;261
2010;102;260
1990;186;260
2008;48;259
2007;93;259
2004;203;259
2009;64;258
2013;89;258
2009;104;258
2007;37;258
2006;140;258
2004;131;257
2010;28;257
2009;176;257
2007;214;257
2001;170;256
1987;15;256
2012;211;256
2003;121;254
2008;113;254
2008;221;254
2001;113;252
2000;155;252
2007;150;252
1986;49;252
2013;60;251
2006;229;250
2008;13;250
1999;128;250
2011;86;249
2003;184;249
2010;129;249
2002;181;249
2008;115;248
2008;138;248
1998;115;248
2012;172;248
2013;210;247
2002;113;247
2010;167;246
2008;155;245
1992;0;245
1997;93;245
1996;212;244
2011;144;244
2006;87;244
2003;107;243
1997;152;243
2008;156;242
1998;126;242
1988;127;242
2010;29;242
2003;163;241
2001;207;241
1998;81;241
2014;143;241
2007;69;241
2015;207;240
1996;210;240
1987;77;240
1997;230;240
2015;49;239
2010;174;239
1994;149;239
2013;107;239
2011;148;239
2005;167;238
2007;102;238
2011;173;238
1998;194;238
2015;100;238
2014;146;238
2010;204;238
2001;116;238
2007;218;237
2004;228;237
2004;96;237
2004;125;237
2009;203;237
2011;138;236
1995;69;236
2010;107;235
1996;139;235
1998;0;235
2008;168;235
2013;132;234
2007;92;234
2008;120;234
2001;108;234
2010;127;233
2015;114;232
2015;193;232
2010;157;232
2000;78;232
1997;79;232
2004;85;231
2004;52;231
1999;158;231
1995;28;231
1998;165;231
2013;124;230
2012;95;230
2008;95;230
2011;108;229
1997;91;229
2013;123;229
2004;138;228
2009;30;228
2014;111;228
2015;0;228
1983;51;228
2008;38;228
2008;101;228
2012;105;228
1997;7;228
2012;112;227
2009;134;227
2006;107;227
2002;122;227
2001;90;226
2007;140;226
2007;134;226
2014;28;225
2002;62;225
1997;152;225
2004;148;225
2011;193;225
2009;67;225
2008;51;225
2001;119;224
2001;129;223
1990;174;223
2008;142;223
2009;109;223
2013;127;222
2003;88;222
2009;171;222
1998;100;222
2010;103;222
2010;145;221
2013;147;221
2006;106;221
2008;178;220
1981;206;220
2007;201;220
2000;111;220
1986;15;220
2008;128;220
2007;106;220
2011;34;219
2006;117;219
2003;168;219
1992;87;219
2000;104;219
2012;59;219
2000;0;218
2002;192;218
2013;121;218
2013;197;218
2006;129;218
2003;148;217
2010;127;217
1998;160;217
1984;48;217
2001;123;216
2009;151;216
2000;150;215
2015;54;215
1987;14;215
2014;60;215
2007;52;214
1996;66;214
1983;1;214
1988;147;214
1992;120;214
1981;199;213
2004;104;213
2006;64;213
2003;82;213
2016;59;213
2010;93;212
2006;91;212
2010;147;212
2001;137;212
1989;83;212
2011;161;211
2009;120;211
2000;168;211
2008;11;211
2002;168;211
2010;90;211
2003;63;211
2011;163;211
1998;94;210
2002;117;210
2002;154;210
2005;177;210
2011;141;210
2005;99;209
1997;0;209
2006;116;209
2003;126;209
2010;184;209
2009;197;209
2006;92;209
2015;70;209
2010;46;209
2010;177;208
2002;111;208
2008;63;208
2007;136;208
2003;97;208
2010;59;208
1998;204;208
1994;89;208
2010;79;208
2002;154;207
2010;63;207
2009;148;207
2011;75;207
2001;164;207
2007;104;206
2010;73;206
2010;120;206
2005;71;206
2004;115;206
1998;68;206
2003;106;206
2013;89;206
2007;73;205
2008;123;205
2013;143;205
2005;116;205
2002;147;205
2013;71;205
1992;175;205
2007;48;205
2009;111;204
2011;145;204
2008;73;204
2006;174;204
2005;71;204
2003;120;204
2011;58;204
2014;153;203
1998;125;203
2011;147;203
2003;157;203
2008;105;202
2005;181;202
2014;176;202
2012;82;202
2007;49;201
2016;120;201
2013;77;200
2012;89;200
2014;35;200
1993;52;200
2008;148;200
1997;95;199
1989;75;199
2002;121;199
2002;75;198
1991;93;198
2013;125;198
2012;111;198
2014;72;197
2010;99;197
2002;74;197
2008;120;197
2003;71;197
2008;101;197
1981;184;197
2013;122;196
2004;50;196
1986;113;196
1985;18;196
2006;79;196
2006;109;196
2014;130;195
2003;74;195
2005;126;195
1994;109;195
2003;169;195
2003;95;194
2008;49;194
1999;194;194
2001;59;194
1989;96;194
2004;109;194
1997;141;194
2002;142;194
2004;100;193
2013;115;193
2008;110;193
1993;148;193
1995;34;193
1998;106;193
2008;153;193
2014;56;193
2008;151;193
2013;86;192
2001;92;192
2009;73;192
2008;87;192
2001;76;192
2003;103;192
2004;94;192
1996;26;192
2009;106;192
2000;72;191
2008;114;191
2008;130;191
2015;77;191
2011;108;191
2001;103;190
2012;59;190
2013;73;189
2008;156;189
2013;21;189
2009;105;188
1999;137;188
2004;92;188
1999;25;188
2005;89;188
1998;142;188
2007;47;187
2002;96;187
1998;22;187
2001;53;187
2013;73;187
2001;87;186
2005;175;186
2004;112;186
1999;94;186
1997;137;186
2004;0;186
2014;64;186
2001;91;186
2009;134;186
1999;62;186
2010;85;186
2013;61;185
2004;133;185
2007;83;185
2004;126;185
1984;80;185
2011;105;185
2001;0;184
2009;97;184
2005;153;184
1998;83;183
2005;131;183
2012;84;183
1996;133;183
2015;46;183
1993;25;183
2007;109;183
1995;92;183
2014;61;182
1994;124;182
2001;173;182
2001;181;182
2007;91;182
2010;22;181
2014;55;181
2003;105;181
2000;110;181
2002;78;181
2004;88;181
2008;100;180
2002;93;180
2006;166;180
2010;141;180
1999;100;180
2015;49;179
1994;126;179
2013;52;179
2012;105;178
2003;125;178
2006;23;178
2001;112;178
2004;39;178
2011;32;178
2010;45;178
2012;41;178
2013;93;177
2005;85;177
2007;116;177
2013;31;177
2013;159;177
1991;24;177
2000;63;177
2001;119;177
2009;107;177
1991;85;176
1998;127;176
2004;106;176
2001;93;176
1994;102;176
1986;53;176
2004;86;176
2002;123;176
2002;86;176
2013;72;176
2012;68;176
2007;126;176
2015;111;176
2004;52;176
2007;35;176
2001;61;176
1998;168;175
2013;90;175
2004;124;175
2001;6;175
2007;100;175
1991;70;175
1993;94;175
1993;79;175
2009;83;175
2008;85;175
2004;125;175
1999;72;174
2002;63;174
2011;83;174
2009;119;174
2015;69;174
2010;96;174
1996;169;174
1998;166;174
2014;49;174
2011;59;174
2014;67;173
2001;85;173
2016;64;173
1998;148;173
2001;94;173
2013;115;173
2002;95;173
2012;106;173
2003;85;172
2015;61;172
2015;66;172
2008;61;172
2008;70;172
2011;41;172
2004;161;172
2003;80;172
2010;59;171
2009;143;171
1998;99;171
2007;115;171
2004;88;171
2003;109;171
2006;0;171
2001;125;171
2009;158;170
2014;34;170
2009;23;170
2008;99;170
2007;49;170
2011;62;170
1993;0;170
2007;69;170
2006;141;170
2005;122;169
2014;136;169
2008;88;169
2013;101;169
1999;94;169
2009;96;169
2015;55;169
1997;137;169
1998;110;169
2001;87;169
2008;79;169
2002;152;169
2010;98;169
2005;98;169
2012;80;169
2007;90;168
2006;82;168
1997;158;168
2012;90;168
1992;59;168
1997;38;168
2003;167;168
2008;123;168
2007;91;168
2002;118;168
2008;94;167
2003;93;167
2008;45;167
2000;158;167
2006;81;167
2013;43;167
2005;122;167
1989;91;167
2001;109;167
2001;59;167
2013;82;167
2003;97;167
2001;113;167
2003;135;167
2003;108;167
2015;63;166
2007;57;166
1992;100;166
2000;78;166
2012;86;166
2004;81;166
2006;76;166
2002;125;166
2005;96;166
1981;154;165
2004;90;165
1991;106;165
2011;48;165
2004;0;165
2008;109;165
2007;32;164
2004;80;164
2011;76;164
1982;152;164
1999;93;164
1986;74;164
2002;80;164
2005;144;164
2004;54;164
2010;102;164
2015;44;164
2004;154;163
2006;45;163
2001;78;163
2011;60;163
2003;118;163
1999;71;163
2014;133;163
2004;132;162
2010;59;162
2005;80;162
2011;82;162
2006;99;162
2003;101;162
1998;90;162
2006;80;161
2004;79;161
2013;92;161
1989;66;161
1998;0;161
2005;98;161
2005;0;161
2007;150;161
2014;79;161
2008;95;160
2011;40;160
2005;130;160
2008;71;160
1998;46;160
1981;149;160
1999;71;160
2008;19;160
2016;58;160
2003;105;160
2004;126;159
1996;1;159
2006;115;159
1996;61;159
2008;58;159
1982;148;159
2007;4;159
2008;92;159
2010;95;159
1999;88;159
2014;47;158
2008;87;158
2008;85;158
2008;81;158
2000;88;158
2012;62;158
2009;94;158
2008;64;158
2012;88;158
2007;106;158
2009;58;158
2002;85;158
2009;10;157
2001;77;157
2002;98;157
2005;95;157
2012;18;156
2000;77;156
2006;107;156
1988;59;156
1995;132;156
2016;58;156
1990;67;156
2001;0;156
2003;68;156
2013;59;156
2010;84;155
2012;72;155
2002;76;155
2003;91;155
2008;79;155
2010;85;155
2000;113;155
2001;57;155
2014;90;155
2010;80;155
2011;60;155
1999;155;155
2011;107;155
2015;69;155
2013;106;154
2007;68;154
2015;71;154
2000;83;154
2003;58;154
2006;140;154
2008;86;154
2005;126;154
1996;85;154
2012;63;153
2009;92;153
2008;71;153
2007;57;153
1994;119;153
1998;144;153
2009;95;153
2016;17;153
2003;109;153
1997;85;153
2014;73;152
2011;94;152
2007;44;152
1997;107;152
2002;36;152
1996;143;152
1984;0;152
1984;18;152
1998;145;152
1998;143;152
2010;50;152
2006;60;152
2002;111;152
2002;126;151
2014;130;151
2010;65;151
2011;84;151
2011;2;151
2013;0;151
1988;93;151
2001;23;151
1997;141;151
2007;35;151
1997;118;151
2003;99;150
2011;64;150
2000;66;150
2010;86;150
1998;141;150
2002;49;150
2010;108;150
2000;119;150
2000;120;150
1985;46;150
1993;100;150
1986;0;150
2010;75;150
2008;113;150
1998;121;150
2009;108;149
2003;72;149
2002;100;149
2008;122;149
2008;100;149
2000;82;149
2006;0;149
2008;82;149
2010;61;149
2009;37;148
2006;43;148
2006;47;148
1990;28;148
1999;120;148
1997;70;148
2011;78;148
2005;72;148
2004;108;148
2004;82;148
2007;39;147
2012;58;147
2008;72;147
1999;62;147
2003;104;147
2006;133;147
2013;45;147
2008;69;147
2010;95;147
2008;78;147
2007;115;147
2012;40;147
1998;29;146
2004;102;146
2012;93;146
2008;81;146
2003;72;146
2008;46;146
2011;83;146
2001;95;146
1981;136;146
1998;81;146
2005;93;146
2012;63;146
2012;94;146
2012;47;146
1998;117;146
2006;53;146
2013;51;146
2004;37;145
2013;89;145
2015;86;145
2008;75;145
2004;71;145
2011;0;145
2003;54;145
2007;53;145
1996;0;145
1984;0;145
1993;0;145
1997;0;145
1999;124;145
2008;97;145
2010;11;145
2005;138;145
2007;37;145
2007;79;144
2007;4;144
2006;73;144
2013;48;144
1996;26;144
2014;33;144
2007;92;144
2010;92;144
2006;123;144
2013;33;144
2004;103;144
2011;73;144
2002;116;144
1999;80;143
2013;96;143
2009;91;143
2009;85;143
2008;81;143
1988;82;143
2004;0;143
1999;79;143
2013;7;142
2002;70;142
2010;80;142
2005;135;142
2004;89;142
2004;115;142
2011;71;142
1994;57;142
1987;12;142
2008;89;142
2002;63;142
2009;0;142
2014;47;141
2006;58;141
2010;64;141
2009;95;141
2005;109;141
2013;97;141
2014;107;141
1994;97;141
2004;36;141
2010;87;141
1999;102;141
2003;0;141
2001;119;141
2004;69;141
2010;82;140
2002;107;140
2008;38;140
1996;115;140
2008;43;140
2004;74;140
1990;0;140
2013;38;140
2002;3;140
2001;78;139
2016;49;139
2007;34;139
2009;127;139
2011;50;139
1994;119;139
1991;105;139
2005;24;139
2007;87;139
2012;51;139
2011;76;139
2003;96;138
2005;49;138
2000;58;138
2012;50;138
2014;87;138
1998;77;138
2012;46;138
2010;43;138
2009;71;138
2007;124;138
2009;80;138
2001;67;138
2011;63;138
2008;60;137
2014;46;137
2006;24;137
1998;76;137
2014;50;137
2008;43;137
2010;74;137
2004;99;137
2010;55;137
1998;0;137
2014;86;136
2004;86;136
2003;63;136
2008;63;136
2008;23;136
1986;27;136
1996;0;136
1981;126;136
2014;47;136
2013;82;136
2002;67;136
2011;81;135
1999;0;135
2010;25;135
1997;129;135
2008;23;135
2007;118;135
2007;20;135
2009;59;135
2010;66;135
2008;76;135
2015;100;135
2004;22;135
2003;70;135
2008;79;135
2008;66;135
2005;24;135
2011;70;135
1997;15;135
2004;0;135
2007;31;135
2011;67;135
2002;95;134
2005;77;134
2006;109;134
1994;103;134
2005;85;134
2004;84;134
2006;122;134
2003;65;134
2000;132;134
2004;110;134
2007;62;133
2004;127;133
2010;79;133
2011;47;133
2013;86;133
2013;89;133
2002;92;133
1998;108;133
2000;90;133
2003;93;133
2000;74;133
2004;87;133
2010;90;133
2013;43;133
2004;65;133
2007;71;133
2010;51;133
2014;72;132
2005;69;132
2008;72;132
2014;40;132
2008;1;132
2014;52;132
2014;69;132
1998;3;132
1985;73;132
2002;106;132
1997;73;132
2003;31;132
2010;77;132
1996;73;132
2011;72;132
2012;75;132
1996;73;131
2002;64;131
2009;97;131
2009;71;131
2009;84;131
2009;122;131
2005;78;131
1999;57;131
2009;81;131
1983;122;131
2002;64;131
2008;68;131
2008;111;131
2004;84;131
2002;94;130
2011;45;130
2006;107;130
2013;56;130
2005;27;130
2007;69;130
1997;105;130
1995;0;130
2010;78;130
1999;56;130
2015;53;130
2006;46;129
2015;61;129
2002;39;129
2012;11;129
2002;54;129
2005;100;129
2015;73;129
2003;93;129
2004;63;129
2008;104;129
2008;76;129
2008;71;129
2005;122;129
2004;63;128
2014;72;128
2008;55;128
2014;45;128
1989;0;128
2015;61;128
1999;110;128
2012;72;128
1999;107;128
2003;63;128
2012;48;128
2001;62;128
2008;45;127
1997;58;127
2005;122;127
2008;72;127
1995;71;127
2012;44;127
1981;118;127
2008;100;127
2011;74;127
2003;85;127
1984;68;127
2015;77;127
2008;96;127
2002;49;127
2007;39;127
2003;87;127
2004;62;127
1994;39;127
2016;0;127
2008;56;126
2005;10;126
2010;0;126
1998;5;126
2007;54;126
2014;61;126
2006;49;126
2003;0;126
1998;2;126
2007;50;126
1998;99;126
2012;63;126
2007;45;126
2008;94;125
2000;70;125
2008;49;125
2007;47;125
1988;0;125
1987;0;125
1996;99;125
2013;48;125
2005;71;125
2006;101;125
2002;119;125
2003;61;125
2004;52;125
1998;105;125
2005;85;124
2001;61;124
2007;112;124
2011;29;124
2007;110;124
2009;65;124
2009;43;124
1997;75;124
2015;66;124
2000;24;124
2008;69;124
1992;56;124
2005;82;124
2007;55;123
2001;60;123
2010;30;123
2004;92;123
2002;59;123
2004;60;123
2003;69;123
2014;8;123
2008;100;123
2007;25;123
2000;29;123
2003;88;123
1998;68;123
1986;54;123
2004;79;123
2009;44;123
2003;40;123
2005;105;123
2016;92;123
2008;72;123
2015;50;123
2007;45;123
2012;50;122
2010;42;122
2004;58;122
1997;13;122
1997;76;122
1999;79;122
1984;27;122
2006;59;122
2011;12;122
2006;72;122
1997;113;122
1997;0;122
2002;61;122
1996;68;122
2001;98;122
1998;68;122
2002;59;122
2011;55;122
2006;101;121
2001;93;121
2004;78;121
2010;13;121
2002;103;121
2009;66;121
1992;66;121
2001;0;121
1999;66;121
2000;34;121
2003;69;121
2007;87;121
1997;67;121
2006;24;121
2005;1;120
2002;59;120
2011;52;120
2004;100;120
2004;48;120
2015;52;120
2008;77;120
2015;72;120
2015;41;120
1993;0;120
1986;0;120
1986;0;120
1999;112;120
1989;40;120
2003;72;120
2001;59;120
2006;74;120
2009;55;120
2012;1;120
2013;49;119
2006;38;119
1997;66;119
2014;56;119
2007;45;119
2003;86;119
2008;9;119
2002;92;119
2012;18;119
2006;99;119
1998;102;119
1990;68;119
1999;99;119
2013;41;119
2002;86;119
2004;64;119
2016;83;119
2015;46;119
2012;90;119
1999;66;118
1982;110;118
2012;48;118
2008;40;118
1988;10;118
1999;52;118
2000;50;118
2001;85;118
2011;53;118
2009;48;118
2011;95;118
2006;41;118
1991;50;118
2008;3;117
1996;65;117
2011;70;117
2008;74;117
2005;98;117
2002;57;117
2008;60;117
2007;54;117
2012;58;117
1990;68;117
2016;32;117
1997;74;117
1993;0;117
2003;57;117
1998;65;117
1996;16;117
2003;76;117
2012;0;117
1996;65;117
2008;51;117
2015;82;117
2004;68;117
2008;43;116
2009;78;116
2010;58;116
2012;38;116
2007;45;116
2006;97;116
2004;57;116
2007;45;116
1997;39;116
2011;66;116
2001;57;116
1999;78;116
1993;57;116
2002;84;116
1995;21;116
1997;65;116
2007;50;116
2010;54;116
2011;52;116
2005;83;116
2009;15;116
2014;51;116
2008;0;115
2011;52;115
2001;56;115
2007;57;115
2004;56;115
1980;107;115
2010;44;115
2009;69;115
2007;0;115
1990;51;115
1995;0;115
1986;0;115
2008;50;115
2011;75;115
2003;50;115
2011;45;115
1993;0;115
2003;56;115
1998;64;115
1997;0;115
2011;47;114
2000;64;114
2003;44;114
2005;78;114
1998;25;114
2007;31;114
2005;95;114
2008;31;114
2009;26;114
1998;90;114
1986;71;114
1990;46;114
2000;41;114
1991;58;114
2003;71;114
2005;82;114
2005;0;114
2009;65;114
2001;12;114
2004;70;114
2002;101;113
2010;50;113
2011;61;113
1999;0;113
2006;81;113
2012;33;113
2004;99;113
2014;38;113
1983;23;113
1998;63;113
2013;64;113
2014;34;113
2009;21;113
2005;81;113
2009;67;113
2011;72;112
1982;105;112
2001;55;112
1996;56;112
2010;63;112
2013;36;112
2010;50;112
2011;84;112
2014;62;112
2005;103;112
2005;66;112
1992;41;112
2009;28;112
2007;0;112
2004;82;112
2003;85;111
2015;32;111
2007;63;111
2008;31;111
2007;92;111
2014;62;111
2005;68;111
1983;33;111
1995;0;111
1994;95;111
2007;54;111
2013;45;111
1999;18;111
2004;52;111
2010;51;111
2009;53;110
1981;103;110
2007;45;110
2015;52;110
1982;103;110
1997;61;110
2012;36;110
2007;47;110
2010;44;110
1999;0;110
1984;0;110
1989;0;110
1989;0;110
1998;45;110
1983;51;110
2008;92;110
2001;52;110
2006;12;110
2006;0;110
2003;54;110
2005;54;110
1998;26;110
2013;31;110
2008;43;109
2008;63;109
2007;24;109
2006;5;109
2009;82;109
2003;78;109
2007;29;109
2000;102;109
1998;0;109
2005;75;109
2006;96;109
2003;102;109
2009;1;109
2006;89;109
2009;61;109
2002;53;109
1997;0;109
2010;64;109
2010;44;109
2012;35;109
2007;44;109
1998;60;109
2010;74;109
2003;53;108
2008;47;108
2002;53;108
2015;36;108
2009;87;108
2002;53;108
2009;55;108
2009;48;108
2012;102;108
2009;28;108
2010;26;108
2007;28;108
1982;101;108
2008;53;108
2004;64;108
2011;27;108
2013;47;108
2008;67;108
1998;60;108
2003;77;108
2002;77;108
2005;68;108
2008;49;108
2011;79;108
2013;101;107
1999;0;107
2006;89;107
2008;65;107
2010;57;107
2008;53;107
1994;17;107
1999;0;107
2009;53;107
2007;8;107
2005;72;107
1997;59;107
2005;74;107
2013;43;107
2012;12;107
2005;10;107
2011;67;107
1995;17;107
2011;54;107
1999;59;107
1998;59;106
2006;88;106
2010;55;106
2002;52;106
2008;23;106
2010;67;106
2007;16;106
2007;96;106
1998;0;106
2008;28;106
2005;52;106
2012;31;106
2008;65;106
1999;18;106
2003;52;106
2008;44;106
1998;102;106
1997;101;106
2009;56;106
2007;97;106
2001;103;106
2016;39;106
2004;76;106
2007;23;106
2002;52;106
2007;49;106
2007;32;106
2014;58;105
1981;99;105
2006;81;105
2014;42;105
2010;41;105
1980;99;105
2010;27;105
1986;0;105
1996;0;105
1985;0;105
1996;0;105
2012;55;105
2002;51;105
2015;30;105
2001;78;105
2000;91;105
2007;45;105
2009;56;105
2005;52;105
2006;44;105
2009;62;105
1998;19;105
2012;58;105
2007;54;105
2008;46;104
2003;51;104
2007;33;104
2010;58;104
1997;9;104
2000;58;104
2009;57;104
1996;45;104
2003;44;104
2006;87;104
2011;59;104
2001;39;104
1997;50;104
1998;91;104
2009;62;104
2015;17;104
