Year;NA_Sales;Global_Sales
2010;3.59;5.13
2014;3.21;5.13
1996;3.22;5.12
2006;3.81;5.12
2009;1.96;5.11
2014;2.66;5.08
2006;1.7;5.08
2010;0.6;5.08
1999;3.4;5.07
1996;2.05;5.05
1999;3.42;5.02
2014;2.59;5.02
1999;2.79;5.01
1998;3.36;5
2007;3.06;5
2007;3.49;4.98
2008;3.39;4.96
2007;1.85;4.96
2007;2.31;4.94
2005;3.98;4.91
2007;2.89;4.9
1997;2.91;4.88
2010;0;4.87
1990;2.62;4.85
2010;2.74;4.84
2010;2.56;4.83
2007;1.91;4.83
2014;0.57;4.82
1999;2.57;4.79
2016;0.28;4.77
2011;2.99;4.76
2000;2.36;4.73
2003;1.73;4.7
2000;3.05;4.68
2008;1.87;4.68
2002;1.94;4.67
2011;2.08;4.64
1996;2.29;4.63
2007;3.06;4.62
1991;2.42;4.61
2002;2.6;4.6
2009;1.89;4.58
2013;1.78;4.58
2015;1.55;4.57
2014;1.78;4.55
2007;3.19;4.53
2004;4.18;4.53
1981;4.21;4.5
2006;3.63;4.49
2002;2.71;4.48
2000;0.2;4.47
2015;1.96;4.47
2014;1.54;4.45
2005;2.71;4.45
2012;2.55;4.44
2010;2.67;4.42
2001;2.66;4.41
2006;0.1;4.39
2006;2.82;4.39
1987;2.19;4.38
2005;2.03;4.37
2006;1.73;4.35
1991;3.03;4.34
2005;2.2;4.33
2013;0.92;4.31
2014;2.75;4.31
1980;4;4.31
2008;2.51;4.31
2015;2.64;4.26
2013;2.11;4.25
2009;2.23;4.25
2011;1.41;4.24
2001;3;4.24
2004;1.46;4.23
2006;2.45;4.22
1995;1.7;4.21
2011;2.03;4.21
2005;0.78;4.21
2003;0.88;4.2
2016;1.3;4.2
2007;1.28;4.2
2011;2.25;4.19
2009;2.02;4.19
2011;0.84;4.19
1989;3.38;4.17
1984;2.04;4.16
1997;3.79;4.16
2002;3.36;4.14
2014;1.4;4.14
1997;4.03;4.12
1995;1.65;4.12
2006;0.71;4.11
2011;2.14;4.1
1992;1.42;4.1
2007;2.13;4.1
2015;2.45;4.09
2007;2.57;4.09
2010;2.65;4.08
2007;2.32;4.07
2007;2.35;4.06
2005;0.12;4.06
1996;2.28;4.05
2000;1.68;4.05
2014;1.12;4.03
1997;2.78;4.03
2014;1.38;4.02
1984;1.22;4.01
2008;2.15;4.01
2007;0.92;4
2009;2.67;3.99
2005;2.08;3.98
2009;2.1;3.92
2014;1.18;3.92
1994;1.97;3.91
2003;2.29;3.9
2013;1.33;3.89
2014;0.67;3.89
2006;1.53;3.88
2011;1.15;3.88
2005;0.93;3.87
1988;0.1;3.87
2010;2.12;3.87
2015;2.48;3.85
2004;0.16;3.85
2007;0.87;3.84
1995;2.12;3.84
1992;2.21;3.83
2009;2.26;3.83
2007;1.06;3.82
2011;1.44;3.81
2015;1.49;3.79
2011;1.14;3.78
2008;2.4;3.78
1996;1.82;3.77
2007;1.4;3.77
2013;1.98;3.76
2002;2.03;3.76
2007;1.98;3.76
2001;1.37;3.73
2015;0.96;3.73
1999;1.3;3.72
2000;1.93;3.71
2004;0.58;3.7
1998;1.49;3.7
2013;1.3;3.69
2007;1.59;3.69
2009;0;3.67
2002;2.13;3.67
2005;1.65;3.66
1998;1.87;3.65
2002;2.53;3.65
2008;2.33;3.65
2013;0.71;3.64
2001;2.08;3.64
1999;2.23;3.63
2009;0.6;3.63
2007;0.05;3.63
2013;1.78;3.63
2005;2.08;3.62
2016;1.28;3.61
2004;1.93;3.61
1994;2.05;3.61
2001;2.02;3.61
2007;1.61;3.61
2001;2.38;3.6
2005;2.18;3.59
2000;2.01;3.58
1997;1.57;3.56
2006;1.56;3.54
2002;1.23;3.54
1997;1.66;3.54
2001;1.9;3.53
2005;1.98;3.53
2013;2.14;3.53
2010;0.71;3.53
2000;1.96;3.52
1999;2.14;3.52
2008;2.66;3.52
2009;1.22;3.52
2009;2.11;3.51
1996;1.17;3.51
2010;2.84;3.5
1985;1.64;3.5
2009;2.2;3.5
2006;0.59;3.5
2015;1.94;3.49
2010;2.09;3.48
2008;2.11;3.48
2014;2.26;3.46
2012;0.88;3.45
2013;0;3.44
2009;2.39;3.44
2002;1.55;3.44
2013;1.34;3.43
2011;1.82;3.42
1998;1.13;3.42
1994;0.86;3.42
2004;1.75;3.41
1990;1.73;3.41
2002;0.46;3.4
2000;1.56;3.39
2008;2.03;3.38
2015;1.08;3.38
2009;1.43;3.38
1998;2.47;3.36
2000;1.9;3.36
2008;0.65;3.36
1998;1.63;3.34
2013;1.9;3.34
2006;0;3.33
2002;1.45;3.33
2002;1.44;3.33
2012;1.15;3.32
2005;1.47;3.32
2001;1.99;3.31
2003;1.5;3.28
2015;0.8;3.28
2014;2.13;3.28
2003;1.89;3.27
2008;1.36;3.27
2009;0.5;3.27
2015;0.25;3.26
1995;0.95;3.24
2015;0.88;3.23
2011;1.27;3.23
2015;2.33;3.22
2014;0.03;3.22
1999;1.72;3.21
1983;0.73;3.2
1995;2.26;3.2
2000;1.76;3.2
2007;1.35;3.19
2008;1.48;3.19
1995;0;3.19
2010;2.15;3.19
2003;1.78;3.18
2015;1.18;3.18
2010;1.52;3.17
2008;0.58;3.17
2001;2.06;3.17
2008;1.88;3.16
2001;1.92;3.15
2008;1.79;3.15
2005;1.22;3.15
2012;0.88;3.15
2014;1.89;3.15
2007;0.68;3.14
2000;1.7;3.13
1998;2.14;3.12
1999;2.31;3.12
2006;0.91;3.12
2007;1.69;3.12
1990;0.08;3.12
2010;1.29;3.12
2010;1.99;3.11
2014;0.78;3.11
2002;2.17;3.09
2001;2.5;3.08
1986;1.92;3.08
2012;1.89;3.07
2013;1.4;3.07
1994;1.57;3.07
2002;1.72;3.07
2012;1.94;3.07
2008;1.91;3.05
2012;1.38;3.04
2010;2.06;3.04
2008;1.94;3.03
1995;1.54;3.03
2009;1.4;3.02
2002;1.85;3.02
1987;2.03;3.02
2002;1.45;3.02
2015;2.38;3
2012;2.6;3
2007;1.15;3
2014;1.01;2.99
1993;1.61;2.99
2000;1.67;2.99
2002;0.12;2.99
2001;1.36;2.99
2015;0.47;2.98
2010;1.33;2.97
2014;0.96;2.97
2011;1.58;2.97
2003;1.04;2.96
2008;1.57;2.96
2002;1.36;2.96
2009;1.82;2.95
1996;1.98;2.94
2003;2.22;2.94
2005;1.45;2.94
2009;1.76;2.94
2001;2.07;2.94
2007;1.83;2.93
2006;0.87;2.92
2007;1.43;2.91
2002;1.75;2.91
2013;0.61;2.9
2014;1.84;2.9
2004;1.54;2.9
2008;1.75;2.9
2003;0.08;2.9
2012;0.71;2.89
2001;0.99;2.89
2004;1.51;2.89
2011;1.54;2.88
1999;2.03;2.88
2007;1.3;2.88
1998;0.09;2.87
2013;1.87;2.86
2012;2.53;2.86
2002;2.09;2.86
2011;1.98;2.85
1990;1.37;2.85
1997;1.29;2.85
1996;1.37;2.85
2011;1.4;2.85
2015;0.4;2.85
2010;1.87;2.84
2007;1.65;2.83
2009;2.52;2.83
2010;1.28;2.83
2002;1.32;2.83
2002;1.96;2.82
2003;1.59;2.82
1994;0.02;2.81
2010;1.05;2.81
2007;1.32;2.81
2003;1.32;2.8
2008;1.74;2.8
2006;1.47;2.8
1997;0.29;2.79
2011;1.45;2.79
1998;1.96;2.79
2001;1.19;2.79
1992;0;2.79
1996;1.98;2.79
2011;0.89;2.79
2001;2.19;2.79
2009;0.3;2.79
2011;0.46;2.79
2003;1.68;2.78
2014;1.27;2.78
2003;1.44;2.78
2009;1.2;2.78
2003;1.41;2.77
2007;1.24;2.77
2011;1.25;2.77
1980;2.56;2.76
1992;1.43;2.75
2013;1.07;2.74
2000;1.02;2.73
1986;1.33;2.73
2011;1.52;2.72
2006;1.49;2.71
2002;1.75;2.7
2001;0.99;2.7
2015;1.47;2.7
1998;1.25;2.7
2011;2.42;2.69
2006;1.85;2.69
2010;2.38;2.69
2010;1.63;2.69
2010;1.46;2.68
2004;1.23;2.68
2014;0;2.68
2009;0.69;2.68
2011;0.78;2.68
1992;1.95;2.67
2005;1.48;2.67
2008;1.78;2.67
1998;1.44;2.67
2004;1.99;2.66
2006;1.59;2.65
2003;1.15;2.65
2012;1.56;2.65
2006;0.86;2.65
1986;0;2.65
1996;2;2.65
2007;1.53;2.64
2000;2;2.63
2006;0.76;2.63
2009;1.53;2.63
2009;1.7;2.63
2004;2.15;2.62
2007;1.07;2.62
2010;1.55;2.62
2009;0.59;2.62
2011;2.31;2.62
2008;0.63;2.61
2002;0.9;2.61
2010;1.02;2.6
1990;1.86;2.6
2008;0.48;2.59
2007;0.93;2.59
2004;2.03;2.59
2009;0.64;2.58
2013;0.89;2.58
2009;1.04;2.58
2007;0.37;2.58
2006;1.4;2.58
2004;1.31;2.57
2010;0.28;2.57
2009;1.76;2.57
2007;2.14;2.57
2001;1.7;2.56
1987;0.15;2.56
2012;2.11;2.56
2003;1.21;2.54
2008;1.13;2.54
2008;2.21;2.54
2001;1.13;2.52
2000;1.55;2.52
2007;1.5;2.52
1986;0.49;2.52
2013;0.6;2.51
2006;2.29;2.5
2008;0.13;2.5
1999;1.28;2.5
2011;0.86;2.49
2003;1.84;2.49
2010;1.29;2.49
2002;1.81;2.49
2008;1.15;2.48
2008;1.38;2.48
1998;1.15;2.48
2012;1.72;2.48
2013;2.1;2.47
2002;1.13;2.47
2010;1.67;2.46
2008;1.55;2.45
1992;0;2.45
1997;0.93;2.45
1996;2.12;2.44
2011;1.44;2.44
2006;0.87;2.44
2003;1.07;2.43
1997;1.52;2.43
2008;1.56;2.42
1998;1.26;2.42
1988;1.27;2.42
2010;0.29;2.42
2003;1.63;2.41
2001;2.07;2.41
1998;0.81;2.41
2014;1.43;2.41
2007;0.69;2.41
2015;2.07;2.4
1996;2.1;2.4
1987;0.77;2.4
1997;2.3;2.4
2015;0.49;2.39
2010;1.74;2.39
1994;1.49;2.39
2013;1.07;2.39
2011;1.48;2.39
2005;1.67;2.38
2007;1.02;2.38
2011;1.73;2.38
1998;1.94;2.38
2015;1;2.38
2014;1.46;2.38
2010;2.04;2.38
2001;1.16;2.38
2007;2.18;2.37
2004;2.28;2.37
2004;0.96;2.37
2004;1.25;2.37
2009;2.03;2.37
2011;1.38;2.36
1995;0.69;2.36
2010;1.07;2.35
1996;1.39;2.35
1998;0;2.35
2008;1.68;2.35
2013;1.32;2.34
2007;0.92;2.34
2008;1.2;2.34
2001;1.08;2.34
2010;1.27;2.33
2015;1.14;2.32
2015;1.93;2.32
2010;1.57;2.32
2000;0.78;2.32
1997;0.79;2.32
2004;0.85;2.31
2004;0.52;2.31
1999;1.58;2.31
1995;0.28;2.31
1998;1.65;2.31
2013;1.24;2.3
2012;0.95;2.3
2008;0.95;2.3
2011;1.08;2.29
1997;0.91;2.29
2013;1.23;2.29
2004;1.38;2.28
2009;0.3;2.28
2014;1.11;2.28
2015;0;2.28
1983;0.51;2.28
2008;0.38;2.28
2008;1.01;2.28
2012;1.05;2.28
1997;0.07;2.28
2012;1.12;2.27
2009;1.34;2.27
2006;1.07;2.27
2002;1.22;2.27
2001;0.9;2.26
2007;1.4;2.26
2007;1.34;2.26
2014;0.28;2.25
2002;0.62;2.25
1997;1.52;2.25
2004;1.48;2.25
2011;1.93;2.25
2009;0.67;2.25
2008;0.51;2.25
2001;1.19;2.24
2001;1.29;2.23
1990;1.74;2.23
2008;1.42;2.23
2009;1.09;2.23
2013;1.27;2.22
2003;0.88;2.22
2009;1.71;2.22
1998;1;2.22
2010;1.03;2.22
2010;1.45;2.21
2013;1.47;2.21
2006;1.06;2.21
2008;1.78;2.2
1981;2.06;2.2
2007;2.01;2.2
2000;1.11;2.2
1986;0.15;2.2
2008;1.28;2.2
2007;1.06;2.2
2011;0.34;2.19
2006;1.17;2.19
2003;1.68;2.19
1992;0.87;2.19
2000;1.04;2.19
2012;0.59;2.19
2000;0;2.18
2002;1.92;2.18
2013;1.21;2.18
2013;1.97;2.18
2006;1.29;2.18
2003;1.48;2.17
2010;1.27;2.17
1998;1.6;2.17
1984;0.48;2.17
2001;1.23;2.16
2009;1.51;2.16
2000;1.5;2.15
2015;0.54;2.15
1987;0.14;2.15
2014;0.6;2.15
2007;0.52;2.14
1996;0.66;2.14
1983;0.01;2.14
1988;1.47;2.14
1992;1.2;2.14
1981;1.99;2.13
2004;1.04;2.13
2006;0.64;2.13
2003;0.82;2.13
2016;0.59;2.13
2010;0.93;2.12
2006;0.91;2.12
2010;1.47;2.12
2001;1.37;2.12
1989;0.83;2.12
2011;1.61;2.11
2009;1.2;2.11
2000;1.68;2.11
2008;0.11;2.11
2002;1.68;2.11
2010;0.9;2.11
2003;0.63;2.11
2011;1.63;2.11
1998;0.94;2.1
2002;1.17;2.1
2002;1.54;2.1
2005;1.77;2.1
2011;1.41;2.1
2005;0.99;2.09
1997;0;2.09
2006;1.16;2.09
2003;1.26;2.09
2010;1.84;2.09
2009;1.97;2.09
2006;0.92;2.09
2015;0.7;2.09
2010;0.46;2.09
2010;1.77;2.08
2002;1.11;2.08
2008;0.63;2.08
2007;1.36;2.08
2003;0.97;2.08
2010;0.59;2.08
1998;2.04;2.08
1994;0.89;2.08
2010;0.79;2.08
2002;1.54;2.07
2010;0.63;2.07
2009;1.48;2.07
2011;0.75;2.07
2001;1.64;2.07
2007;1.04;2.06
2010;0.73;2.06
2010;1.2;2.06
2005;0.71;2.06
2004;1.15;2.06
1998;0.68;2.06
2003;1.06;2.06
2013;0.89;2.06
2007;0.73;2.05
2008;1.23;2.05
2013;1.43;2.05
2005;1.16;2.05
2002;1.47;2.05
2013;0.71;2.05
1992;1.75;2.05
2007;0.48;2.05
2009;1.11;2.04
2011;1.45;2.04
2008;0.73;2.04
2006;1.74;2.04
2005;0.71;2.04
2003;1.2;2.04
2011;0.58;2.04
2014;1.53;2.03
1998;1.25;2.03
2011;1.47;2.03
2003;1.57;2.03
2008;1.05;2.02
2005;1.81;2.02
2014;1.76;2.02
2012;0.82;2.02
2007;0.49;2.01
2016;1.2;2.01
2013;0.77;2
2012;0.89;2
2014;0.35;2
1993;0.52;2
2008;1.48;2
1997;0.95;1.99
1989;0.75;1.99
2002;1.21;1.99
2002;0.75;1.98
1991;0.93;1.98
2013;1.25;1.98
2012;1.11;1.98
2014;0.72;1.97
2010;0.99;1.97
2002;0.74;1.97
2008;1.2;1.97
2003;0.71;1.97
2008;1.01;1.97
1981;1.84;1.97
2013;1.22;1.96
2004;0.5;1.96
1986;1.13;1.96
1985;0.18;1.96
2006;0.79;1.96
2006;1.09;1.96
2014;1.3;1.95
2003;0.74;1.95
2005;1.26;1.95
1994;1.09;1.95
2003;1.69;1.95
2003;0.95;1.94
2008;0.49;1.94
1999;1.94;1.94
2001;0.59;1.94
1989;0.96;1.94
2004;1.09;1.94
1997;1.41;1.94
2002;1.42;1.94
2004;1;1.93
2013;1.15;1.93
2008;1.1;1.93
1993;1.48;1.93
1995;0.34;1.93
1998;1.06;1.93
2008;1.53;1.93
2014;0.56;1.93
2008;1.51;1.93
2013;0.86;1.92
2001;0.92;1.92
2009;0.73;1.92
2008;0.87;1.92
2001;0.76;1.92
2003;1.03;1.92
2004;0.94;1.92
1996;0.26;1.92
2009;1.06;1.92
2000;0.72;1.91
2008;1.14;1.91
2008;1.3;1.91
2015;0.77;1.91
2011;1.08;1.91
2001;1.03;1.9
2012;0.59;1.9
2013;0.73;1.89
2008;1.56;1.89
2013;0.21;1.89
2009;1.05;1.88
1999;1.37;1.88
2004;0.92;1.88
1999;0.25;1.88
2005;0.89;1.88
1998;1.42;1.88
2007;0.47;1.87
2002;0.96;1.87
1998;0.22;1.87
2001;0.53;1.87
2013;0.73;1.87
2001;0.87;1.86
2005;1.75;1.86
2004;1.12;1.86
1999;0.94;1.86
1997;1.37;1.86
2004;0;1.86
2014;0.64;1.86
2001;0.91;1.86
2009;1.34;1.86
1999;0.62;1.86
2010;0.85;1.86
2013;0.61;1.85
2004;1.33;1.85
2007;0.83;1.85
2004;1.26;1.85
1984;0.8;1.85
2011;1.05;1.85
2001;0;1.84
2009;0.97;1.84
2005;1.53;1.84
1998;0.83;1.83
2005;1.31;1.83
2012;0.84;1.83
1996;1.33;1.83
2015;0.46;1.83
1993;0.25;1.83
2007;1.09;1.83
1995;0.92;1.83
2014;0.61;1.82
1994;1.24;1.82
2001;1.73;1.82
2001;1.81;1.82
2007;0.91;1.82
2010;0.22;1.81
2014;0.55;1.81
2003;1.05;1.81
2000;1.1;1.81
2002;0.78;1.81
2004;0.88;1.81
2008;1;1.8
2002;0.93;1.8
2006;1.66;1.8
2010;1.41;1.8
1999;1;1.8
2015;0.49;1.79
1994;1.26;1.79
2013;0.52;1.79
2012;1.05;1.78
2003;1.25;1.78
2006;0.23;1.78
2001;1.12;1.78
2004;0.39;1.78
2011;0.32;1.78
2010;0.45;1.78
2012;0.41;1.78
2013;0.93;1.77
2005;0.85;1.77
2007;1.16;1.77
2013;0.31;1.77
2013;1.59;1.77
1991;0.24;1.77
2000;0.63;1.77
2001;1.19;1.77
2009;1.07;1.77
1991;0.85;1.76
1998;1.27;1.76
2004;1.06;1.76
2001;0.93;1.76
1994;1.02;1.76
1986;0.53;1.76
2004;0.86;1.76
2002;1.23;1.76
2002;0.86;1.76
2013;0.72;1.76
2012;0.68;1.76
2007;1.26;1.76
2015;1.11;1.76
2004;0.52;1.76
2007;0.35;1.76
2001;0.61;1.76
1998;1.68;1.75
2013;0.9;1.75
2004;1.24;1.75
2001;0.06;1.75
2007;1;1.75
1991;0.7;1.75
1993;0.94;1.75
1993;0.79;1.75
2009;0.83;1.75
2008;0.85;1.75
2004;1.25;1.75
1999;0.72;1.74
2002;0.63;1.74
2011;0.83;1.74
2009;1.19;1.74
2015;0.69;1.74
2010;0.96;1.74
1996;1.69;1.74
1998;1.66;1.74
2014;0.49;1.74
2011;0.59;1.74
2014;0.67;1.73
2001;0.85;1.73
2016;0.64;1.73
1998;1.48;1.73
2001;0.94;1.73
2013;1.15;1.73
2002;0.95;1.73
2012;1.06;1.73
2003;0.85;1.72
2015;0.61;1.72
2015;0.66;1.72
2008;0.61;1.72
2008;0.7;1.72
2011;0.41;1.72
2004;1.61;1.72
2003;0.8;1.72
2010;0.59;1.71
2009;1.43;1.71
1998;0.99;1.71
2007;1.15;1.71
2004;0.88;1.71
2003;1.09;1.71
2006;0;1.71
2001;1.25;1.71
2009;1.58;1.7
2014;0.34;1.7
2009;0.23;1.7
2008;0.99;1.7
2007;0.49;1.7
2011;0.62;1.7
1993;0;1.7
2007;0.69;1.7
2006;1.41;1.7
2005;1.22;1.69
2014;1.36;1.69
2008;0.88;1.69
2013;1.01;1.69
1999;0.94;1.69
2009;0.96;1.69
2015;0.55;1.69
1997;1.37;1.69
1998;1.1;1.69
2001;0.87;1.69
2008;0.79;1.69
2002;1.52;1.69
2010;0.98;1.69
2005;0.98;1.69
2012;0.8;1.69
2007;0.9;1.68
2006;0.82;1.68
1997;1.58;1.68
2012;0.9;1.68
1992;0.59;1.68
1997;0.38;1.68
2003;1.67;1.68
2008;1.23;1.68
2007;0.91;1.68
2002;1.18;1.68
2008;0.94;1.67
2003;0.93;1.67
2008;0.45;1.67
2000;1.58;1.67
2006;0.81;1.67
2013;0.43;1.67
2005;1.22;1.67
1989;0.91;1.67
2001;1.09;1.67
2001;0.59;1.67
2013;0.82;1.67
2003;0.97;1.67
2001;1.13;1.67
2003;1.35;1.67
2003;1.08;1.67
2015;0.63;1.66
2007;0.57;1.66
1992;1;1.66
2000;0.78;1.66
2012;0.86;1.66
2004;0.81;1.66
2006;0.76;1.66
2002;1.25;1.66
2005;0.96;1.66
1981;1.54;1.65
2004;0.9;1.65
1991;1.06;1.65
2011;0.48;1.65
2004;0;1.65
2008;1.09;1.65
2007;0.32;1.64
2004;0.8;1.64
2011;0.76;1.64
1982;1.52;1.64
1999;0.93;1.64
1986;0.74;1.64
2002;0.8;1.64
2005;1.44;1.64
2004;0.54;1.64
2010;1.02;1.64
2015;0.44;1.64
2004;1.54;1.63
2006;0.45;1.63
2001;0.78;1.63
2011;0.6;1.63
2003;1.18;1.63
1999;0.71;1.63
2014;1.33;1.63
2004;1.32;1.62
2010;0.59;1.62
2005;0.8;1.62
2011;0.82;1.62
2006;0.99;1.62
2003;1.01;1.62
1998;0.9;1.62
2006;0.8;1.61
2004;0.79;1.61
2013;0.92;1.61
1989;0.66;1.61
1998;0;1.61
2005;0.98;1.61
2005;0;1.61
2007;1.5;1.61
2014;0.79;1.61
2008;0.95;1.6
2011;0.4;1.6
2005;1.3;1.6
2008;0.71;1.6
1998;0.46;1.6
1981;1.49;1.6
1999;0.71;1.6
2008;0.19;1.6
2016;0.58;1.6
2003;1.05;1.6
2004;1.26;1.59
1996;0.01;1.59
2006;1.15;1.59
1996;0.61;1.59
2008;0.58;1.59
1982;1.48;1.59
2007;0.04;1.59
2008;0.92;1.59
2010;0.95;1.59
1999;0.88;1.59
2014;0.47;1.58
2008;0.87;1.58
2008;0.85;1.58
2008;0.81;1.58
2000;0.88;1.58
2012;0.62;1.58
2009;0.94;1.58
2008;0.64;1.58
2012;0.88;1.58
2007;1.06;1.58
2009;0.58;1.58
2002;0.85;1.58
2009;0.1;1.57
2001;0.77;1.57
2002;0.98;1.57
2005;0.95;1.57
2012;0.18;1.56
2000;0.77;1.56
2006;1.07;1.56
1988;0.59;1.56
1995;1.32;1.56
2016;0.58;1.56
1990;0.67;1.56
2001;0;1.56
2003;0.68;1.56
2013;0.59;1.56
2010;0.84;1.55
2012;0.72;1.55
2002;0.76;1.55
2003;0.91;1.55
2008;0.79;1.55
2010;0.85;1.55
2000;1.13;1.55
2001;0.57;1.55
2014;0.9;1.55
2010;0.8;1.55
2011;0.6;1.55
1999;1.55;1.55
2011;1.07;1.55
2015;0.69;1.55
2013;1.06;1.54
2007;0.68;1.54
2015;0.71;1.54
2000;0.83;1.54
2003;0.58;1.54
2006;1.4;1.54
2008;0.86;1.54
2005;1.26;1.54
1996;0.85;1.54
2012;0.63;1.53
2009;0.92;1.53
2008;0.71;1.53
2007;0.57;1.53
1994;1.19;1.53
1998;1.44;1.53
2009;0.95;1.53
2016;0.17;1.53
2003;1.09;1.53
1997;0.85;1.53
2014;0.73;1.52
2011;0.94;1.52
2007;0.44;1.52
1997;1.07;1.52
2002;0.36;1.52
1996;1.43;1.52
1984;0;1.52
1984;0.18;1.52
1998;1.45;1.52
1998;1.43;1.52
2010;0.5;1.52
2006;0.6;1.52
2002;1.11;1.52
2002;1.26;1.51
2014;1.3;1.51
2010;0.65;1.51
2011;0.84;1.51
2011;0.02;1.51
2013;0;1.51
1988;0.93;1.51
2001;0.23;1.51
1997;1.41;1.51
2007;0.35;1.51
1997;1.18;1.51
2003;0.99;1.5
2011;0.64;1.5
2000;0.66;1.5
2010;0.86;1.5
1998;1.41;1.5
2002;0.49;1.5
2010;1.08;1.5
2000;1.19;1.5
2000;1.2;1.5
1985;0.46;1.5
1993;1;1.5
1986;0;1.5
2010;0.75;1.5
2008;1.13;1.5
1998;1.21;1.5
2009;1.08;1.49
2003;0.72;1.49
2002;1;1.49
2008;1.22;1.49
2008;1;1.49
2000;0.82;1.49
2006;0;1.49
2008;0.82;1.49
2010;0.61;1.49
2009;0.37;1.48
2006;0.43;1.48
2006;0.47;1.48
1990;0.28;1.48
1999;1.2;1.48
1997;0.7;1.48
2011;0.78;1.48
2005;0.72;1.48
2004;1.08;1.48
2004;0.82;1.48
2007;0.39;1.47
2012;0.58;1.47
2008;0.72;1.47
1999;0.62;1.47
2003;1.04;1.47
2006;1.33;1.47
